parent,lag,strength,p_value,direction
target,1,0.6276045706115095,0.0,positive
target,2,0.15065031918792499,8.686545008871613e-77,positive
target,3,0.08584464006376707,6.48140864830387e-26,negative
ps0_input_voltag_avg,1,0.025926483890929837,0.0015029184699358112,negative
p1_io_power_avg,1,0.02335394801507856,0.004258963363875481,positive
p1_vdd_temp_avg,1,0.022495835357526698,0.005895473217103167,positive
