model,roc_auc,pr_auc,f1,precision,recall,tn,fp,fn,tp,train_time_s
LightGBM,0.8082990236511494,0.3013976539184748,0.3278070190477823,0.3117764080487884,0.34557547715442455,171576,21103,18104,9560,38.50611138343811
CatBoost,0.7706729528956318,0.29156773389107565,0.34627344125661164,0.31106375626331856,0.39047137073452864,168755,23924,16862,10802,146.41508841514587
XGBoost,0.7839100575698666,0.2747371451351145,0.3093610751122867,0.3039595325309611,0.3149580682475419,172727,19952,18951,8713,69.84527397155762
Autoencoder,0.5408545557118016,0.16806868609384057,0.09395430663528517,0.13723175220501424,0.07142857142857142,180256,12423,25688,1976,228.49332976341248
TCN,0.7518690931408423,0.3081540667014004,0.38150209103791516,0.36527897279767024,0.3992332175925926,173259,19180,16610,11038,94.42602825164795
GraphSAGE,0.46348373077615723,0.12295420994401945,0.14787725935266918,0.09760022194479123,0.3049848287819679,102804,65054,16034,7036,19.072746992111206
